trip_month,cohort_month,trip_year,trip_month_num,pickup_location_id,total_trips,avg_fare,total_revenue,avg_tip
2022-01-01,2022-01-01,2022,1,79,63302,10.68,1053713.43,2.23
2022-01-01,2022-01-01,2022,1,264,21196,18.34,548034.73,3.28
2022-01-01,2022-01-01,2022,1,229,54792,9.63,836369.29,1.98
2022-01-01,2022-01-01,2022,1,100,38387,10.88,642945.19,1.99
2022-01-01,2022-01-01,2022,1,162,73695,10.1,1181978.99,2.11
2022-01-01,2022-01-01,2022,1,48,75751,10.83,1265667.7,2.07
2022-01-01,2022-01-01,2022,1,231,27814,12.6,521432.58,2.43
2022-01-01,2022-01-01,2022,1,43,40585,10.14,639615.87,2.09
2022-01-01,2022-01-01,2022,1,36,116,23.52,3401.27,3.47
2022-01-01,2022-01-01,2022,1,263,61503,9.87,957650.25,2.02
2022-01-01,2022-01-01,2022,1,116,2285,14.38,41362.06,1.64
2022-01-01,2022-01-01,2022,1,65,1134,17.8,26084.25,2.53
2022-01-01,2022-01-01,2022,1,216,231,51.54,13870.32,5.31
2022-01-01,2022-01-01,2022,1,194,62,41.8,3532.51,6.96
2022-01-01,2022-01-01,2022,1,188,195,24.71,5385.08,1.04
2022-01-01,2022-01-01,2022,1,40,325,17.82,7884.51,3.46
2022-01-01,2022-01-01,2022,1,38,62,46.24,3107.76,1.62
2022-01-01,2022-01-01,2022,1,177,94,30.62,3143.7,0.78
2022-01-01,2022-01-01,2022,1,95,232,21.51,6051.26,1.98
2022-01-01,2022-01-01,2022,1,243,315,20.84,7971.34,2.16
2022-01-01,2022-01-01,2022,1,133,66,26.37,2045.53,1.83
2022-01-01,2022-01-01,2022,1,159,145,18.4,3021.17,0.68
2022-01-01,2022-01-01,2022,1,78,85,28.41,2762,0.44
2022-01-01,2022-01-01,2022,1,173,42,20.91,1009.46,0.59
2022-01-01,2022-01-01,2022,1,34,24,16.78,530.35,2.87
2022-01-01,2022-01-01,2022,1,241,85,32.48,3050.27,0.74
2022-01-01,2022-01-01,2022,1,67,29,31.79,1070.53,1.82
2022-01-01,2022-01-01,2022,1,72,102,27.43,2983.13,0.36
2022-01-01,2022-01-01,2022,1,111,1,38,57.42,9.57
2022-01-01,2022-01-01,2022,1,22,56,30.1,1866.8,1.08
2022-01-01,2022-01-01,2022,1,126,27,25.15,777.24,0.46
2022-01-01,2022-01-01,2022,1,136,88,27.19,2680.44,0.98
2022-01-01,2022-01-01,2022,1,85,60,26.5,1762.88,1
2022-01-01,2022-01-01,2022,1,149,19,37.31,765.38,0.88
2022-01-01,2022-01-01,2022,1,214,2,30.64,91.51,6.52
2022-01-01,2022-01-01,2022,1,123,44,30.53,1437.32,0.16
2022-01-01,2022-01-01,2022,1,221,5,65.77,404.89,5.09
2022-01-01,2022-01-01,2022,1,86,78,52.97,4424.54,0.09
2022-01-01,2022-01-01,2022,1,201,18,52.76,1056.05,0
2022-01-01,2022-01-01,2022,1,191,62,32.13,2088.78,0
2022-01-01,2022-01-01,2022,1,252,26,47.8,1368.6,1.12
2022-01-01,2022-01-01,2022,1,118,2,47.96,117.16,0
2022-01-01,2022-01-01,2022,1,109,3,64.97,216.95,0
2022-01-01,2022-01-01,2022,1,176,1,67.2,74.55,0
2022-01-01,2022-01-01,2022,1,245,3,32.03,116.46,1.29
2022-02-01,2022-02-01,2022,2,264,25155,18.26,650605.25,3.39
2022-02-01,2022-02-01,2022,2,162,93859,10.79,1586687.66,2.26
2022-02-01,2022-02-01,2022,2,68,75127,11.6,1331078.23,2.31
